item_id,product_name,current_stock,stock_status,priority,alert
1,Lavender Vitae,0,Overstock,Medium,Future Restock Warning: Forecasted sales 440 exceed current stock 0
2,Linen Error,0,Perfect,High,Immediate Restock Needed: High; Future Restock Warning: Forecasted sales 448 exceed current stock 0
3,Beige Reiciendis,0,Overstock,Low,Future Restock Warning: Forecasted sales 423 exceed current stock 0
4,Lavender Possimus,0,Perfect,Medium,Future Restock Warning: Forecasted sales 437 exceed current stock 0
5,Brown At,0,Understock,Very High,Immediate Restock Needed: Very High; Future Restock Warning: Forecasted sales 443 exceed current stock 0
6,LimeGreen Aspernatur,0,Overstock,Low,Future Restock Warning: Forecasted sales 449 exceed current stock 0
7,Lime Dolores,0,Understock,High,Immediate Restock Needed: High; Future Restock Warning: Forecasted sales 478 exceed current stock 0
8,Navy Eos,0,Perfect,Medium,Future Restock Warning: Forecasted sales 415 exceed current stock 0
9,Yellow Facilis,0,Perfect,High,Immediate Restock Needed: High; Future Restock Warning: Forecasted sales 441 exceed current stock 0
10,Fuchsia Expedita,0,Perfect,High,Immediate Restock Needed: High; Future Restock Warning: Forecasted sales 435 exceed current stock 0
11,Red Perspiciatis,0,Overstock,Low,Future Restock Warning: Forecasted sales 437 exceed current stock 0
12,Indigo Enim,0,Perfect,Medium,Future Restock Warning: Forecasted sales 422 exceed current stock 0
13,Indigo Possimus,0,Understock,Very High,Immediate Restock Needed: Very High; Future Restock Warning: Forecasted sales 458 exceed current stock 0
14,PeachPuff Aliquam,0,Understock,High,Immediate Restock Needed: High; Future Restock Warning: Forecasted sales 443 exceed current stock 0
15,PaleGoldenRod Sunt,0,Understock,Very High,Immediate Restock Needed: Very High; Future Restock Warning: Forecasted sales 430 exceed current stock 0
16,MediumSlateBlue Aut,0,Understock,Very High,Immediate Restock Needed: Very High; Future Restock Warning: Forecasted sales 383 exceed current stock 0
17,LightSkyBlue Molestiae,0,Perfect,Medium,Future Restock Warning: Forecasted sales 443 exceed current stock 0
18,Gainsboro Ipsum,0,Perfect,Medium,Future Restock Warning: Forecasted sales 444 exceed current stock 0
19,DarkBlue Dolorem,0,Overstock,Low,Future Restock Warning: Forecasted sales 428 exceed current stock 0
20,MediumTurquoise Rem,0,Understock,High,Immediate Restock Needed: High; Future Restock Warning: Forecasted sales 432 exceed current stock 0
21,LawnGreen Autem,0,Understock,High,Immediate Restock Needed: High; Future Restock Warning: Forecasted sales 438 exceed current stock 0
22,DarkRed A,0,Perfect,Medium,Future Restock Warning: Forecasted sales 460 exceed current stock 0
23,GhostWhite Tempora,0,Understock,Very High,Immediate Restock Needed: Very High; Future Restock Warning: Forecasted sales 424 exceed current stock 0
24,LightSeaGreen Eius,0,Understock,High,Immediate Restock Needed: High; Future Restock Warning: Forecasted sales 458 exceed current stock 0
25,DarkSeaGreen Minima,0,Understock,High,Immediate Restock Needed: High; Future Restock Warning: Forecasted sales 465 exceed current stock 0
26,DarkSalmon Delectus,0,Perfect,Medium,Future Restock Warning: Forecasted sales 449 exceed current stock 0
27,FloralWhite Tenetur,0,Perfect,High,Immediate Restock Needed: High; Future Restock Warning: Forecasted sales 389 exceed current stock 0
28,Gold Fugit,0,Perfect,Medium,Future Restock Warning: Forecasted sales 441 exceed current stock 0
29,OrangeRed Voluptatum,0,Perfect,High,Immediate Restock Needed: High; Future Restock Warning: Forecasted sales 428 exceed current stock 0
30,Crimson Deserunt,0,Perfect,Medium,Future Restock Warning: Forecasted sales 454 exceed current stock 0
31,Azure Mollitia,0,Overstock,Low,Future Restock Warning: Forecasted sales 445 exceed current stock 0
32,Linen Quam,0,Perfect,High,Immediate Restock Needed: High; Future Restock Warning: Forecasted sales 446 exceed current stock 0
33,SteelBlue Animi,0,Perfect,High,Immediate Restock Needed: High; Future Restock Warning: Forecasted sales 424 exceed current stock 0
34,Crimson Nisi,0,Overstock,Low,Future Restock Warning: Forecasted sales 426 exceed current stock 0
35,LightGreen Earum,0,Perfect,Medium,Future Restock Warning: Forecasted sales 435 exceed current stock 0
36,DarkKhaki Hic,0,Overstock,Low,Future Restock Warning: Forecasted sales 450 exceed current stock 0
37,OliveDrab Enim,0,Perfect,High,Immediate Restock Needed: High; Future Restock Warning: Forecasted sales 442 exceed current stock 0
38,SeaGreen Nemo,0,Understock,High,Immediate Restock Needed: High; Future Restock Warning: Forecasted sales 446 exceed current stock 0
39,LightGray Ab,0,Overstock,Medium,Future Restock Warning: Forecasted sales 473 exceed current stock 0
